"","V1","V2"
"1",1,"time.bodyacceleration.mean.x"
"2",2,"time.bodyacceleration.mean.y"
"3",3,"time.bodyacceleration.mean.z"
"4",4,"time.bodyacceleration.std.x"
"5",5,"time.bodyacceleration.std.y"
"6",6,"time.bodyacceleration.std.z"
"41",41,"time.gravityacceleration.mean.x"
"42",42,"time.gravityacceleration.mean.y"
"43",43,"time.gravityacceleration.mean.z"
"44",44,"time.gravityacceleration.std.x"
"45",45,"time.gravityacceleration.std.y"
"46",46,"time.gravityacceleration.std.x"
"81",81,"time.bodyaccelerationjerk.mean.x"
"82",82,"time.bodyaccelerationjerk.mean.y"
"83",83,"time.bodyaccelerationjerk.mean.z"
"84",84,"time.bodyaccelerationjerk.std.x"
"85",85,"time.bodyaccelerationjerk.std.y"
"86",86,"time.bodyaccelerationjerk.std.z"
"121",121,"time.bodygyro.mean.x"
"122",122,"time.bodygyro.mean.y"
"123",123,"time.bodygyro.mean.z"
"124",124,"time.bodygyro.std.x"
"125",125,"time.bodygyro.std.y"
"126",126,"time.bodygyro.std.z"
"161",161,"time.bodygyrojerk.mean.x"
"162",162,"time.bodygyrojerk.mean.y"
"163",163,"time.bodygyrojerk.mean.z"
"164",164,"time.bodygyrojerk.std.x"
"165",165,"time.bodygyrojerk.std.y"
"166",166,"time.bodygyrojerk.std.z"
"201",201,"time.bodyaccelerationmagnitude.mean"
"202",202,"time.bodyaccelerationmagnitude.std"
"214",214,"time.gravityaccelerationmagmitude.mean"
"215",215,"time.gravityaccelerationmagmitude.std"
"227",227,"time.bodyAccelerationjerkmagnitude.mean"
"228",228,"time.bodyAccelerationjerkmagnitude.std"
"240",240,"time.bodygyromagnitude.mean"
"241",241,"time.bodygyromagnitude.std"
"253",253,"time.bodygyrojerkmagnitude.mean"
"254",254,"time.bodygyrojerkmagnitude.std"
"266",266,"fft.bodyacceleration.mean.x"
"267",267,"fft.bodyacceleration.mean.y"
"268",268,"fft.bodyacceleration.mean.z"
"269",269,"fft.bodyacceleration.std.x"
"270",270,"fft.bodyacceleration.std.y"
"271",271,"fft.bodyacceleration.std.z"
"345",345,"fft.bodyaccelerationjerk.mean.x"
"346",346,"fft.bodyaccelerationjerk.mean.y"
"347",347,"fft.bodyaccelerationjerk.mean.z"
"348",348,"fft.bodyaccelerationjerk.std.x"
"349",349,"fft.bodyaccelerationjerk.std.y"
"350",350,"fft.bodyaccelerationjerk.std.z"
"424",424,"fft.bodygyro.mean.x"
"425",425,"fft.bodygyro.mean.y"
"426",426,"fft.bodygyro.mean.z"
"427",427,"fft.bodygyro.std.x"
"428",428,"fft.bodygyro.std.y"
"429",429,"fft.bodygyro.std.z"
"503",503,"fft.bodyaccelerationmagnitude.mean"
"504",504,"fft.bodyaccelerationmagnitude.std"
"516",516,"fft.bodyaccelerationjerkmagnitude.mean"
"517",517,"fft.bodyaccelerationjerkmagnitude.std"
"529",529,"fft.bodygyromagnitude.mean"
"530",530,"fft.bodygyromagnitude.std"
"542",542,"fft.bodygyrojerkmagnitude.mean"
"543",543,"fft.bodygyrojerkmagnitude.std"
"555",555,"angle.bodyacceleration.mean"
"556",556,"angle.bodyaccjerk.mean"
"557",557,"angle.bodygyro.mean"
"558",558,"angle.bodygyrojerk.mean"
"559",559,"angle.gravity.mean.x"
"560",560,"angle.gravity.mean.y"
"561",561,"angle.gravity.mean.z"
